,facebook_messenger,google_maps,google_keep,facebook,gmail,netflix,spotify,tiktok,twitter,youtube
0,19.543392,35.146584,35.304192,43.3422,35.934624,17.494488,29.15748,27.322236,25.427052,25.847712
1,18.755352,34.200936,35.777016,39.244392,46.809576,24.586848,23.325984,25.21728,21.592296,28.211832
2,17.967312,26.320536,49.488912,40.19004,53.901936,61.782336,21.907512,26.79336,24.42924,27.739008
3,22.380336,35.146584,49.488912,40.662864,43.184592,55.95084,23.6412,25.690104,26.950968,29.472696
4,20.48904,37.195488,46.967184,49.331304,48.543264,26.635752,21.907512,29.630304,32.30964,44.445456
5,25.374888,47.2824,46.021536,42.869376,44.287848,57.684528,31.048776,27.5814,28.684656,41.450904
6,23.010768,35.619408,47.755224,41.76612,43.657416,30.575952,29.472696,33.09768,66.352968,33.09768
7,23.483592,38.929176,53.901936,42.711768,42.711768,40.505256,30.260736,29.15748,62.885592,33.88572
8,28.36944,36.565056,45.075888,42.711768,48.07044,25.374888,32.940072,32.30964,27.423792,38.141136
9,22.85316,41.293296,45.391104,41.450904,50.907384,24.744456,31.5216,40.97808,27.423792,36.722664
10,22.85316,37.668312,52.79868,46.021536,47.912832,27.5814,31.994424,29.787912,31.679208,39.402
11,23.956416,37.510704,48.385656,40.347648,83.059416,23.6412,28.527048,30.891168,26.320536,36.407448
12,22.695552,38.141136,48.228048,43.184592,48.385656,24.271632,30.103128,36.565056,30.260736,39.874824
13,22.06512,35.934624,52.483464,37.353096,41.923728,83.847456,29.315088,30.103128,28.684656,68.717088
14,24.114024,36.092232,47.2824,38.298744,43.657416,30.103128,28.999872,33.09768,27.108576,38.61396
15,22.695552,37.353096,49.016088,39.874824,45.863928,25.532496,28.999872,33.728112,30.418344,33.255288
16,25.21728,37.510704,36.092232,37.983528,41.76612,27.423792,54.059544,31.363992,26.162928,35.146584
17,21.434688,35.146584,37.983528,48.07044,43.499808,21.592296,28.36944,28.054224,27.896616,33.88572
18,25.059672,37.03788,36.565056,37.82592,53.901936,18.282528,30.891168,25.690104,23.168376,62.727984
19,22.380336,26.320536,33.88572,29.15748,35.777016,21.434688,23.6412,22.695552,22.695552,25.847712
